0;  1
1;  2
2;  3
3;  4
4;  5
5;  2
6;  4
7;  1
8;  1
9;  6
10; 7
11; 7
12; 1
13; 8
14; 1
15; 2
16; 4
17; 9
18;10
19; 8
20;11
21; 8
22;12
23; 6
24; 6
25;13
26; 4
27; 6
28;14
29;14
30;12
31;11
32;15
33; 8
34; 6
35;16
36;16
37;13
38;13
39; 4
40;10
41;16
42; 8
43; 8
44; 5
45;17
46; 5
47; 8
48; 8
49;13
50; 4
51;16
52;10
53;16
54;13
55; 9
56;13
57; 2
58; 2
59; 4
60;11
61;18
62;13
63; 6
64; 1
65;14
66; 2
67; 8
68; 1
69;13
70;13
71;18
72; 2
73; 2
74; 8
75;14
76;17
77; 2
78;10
79; 2
80;12
81; 5
82;18
83; 5
84;10
85; 8
86; 9
